gene_symbol	hgnc_id	gene_name	panel_count	green_panel_count	panel_ids	panel_names	modes_of_inheritance	phenotypes	has_panelapp_green_support
OXR1	HGNC:15822	oxidation resistance 1	7	6	126;285;402;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Autosomal-Recessive Neurological Disease with Cerebellar Atrophy and Lysosomal Dysfunction;Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay 213000;sensorineural hearing loss disorder, MONDO:0020678	TRUE
PC	HGNC:8636	pyruvate carboxylase	7	6	285;478;486;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	PYRUVATE CARBOXYLASE DEFICIENCY 266150;Pyruvate carboxylase deficiency, OMIM:266150	TRUE
PCDH19	HGNC:14270	protocadherin 19	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 9;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 9 (EIEE9);EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 9, OMIM:300088;Epileptic encephalopathy, early infantile, 9;Epileptic encephalopathy, early infantile, 9, 300088	TRUE
PDHB	HGNC:8808	pyruvate dehydrogenase E1 beta subunit	7	6	285;478;486;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Pyruvate dehydrogenase E1-beta deficiency, OMIM:614111	TRUE
PFKM	HGNC:8877	phosphofructokinase, muscle	7	6	159;478;486;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Cytopenias and congenital anaemias;Fetal anomalies;Hypotonic infant;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Glycogen storage disease VII;Glycogen storage disease VII	232800;Glycogen storage disease VII, 232800;Glycogen storage disease VII, MONDO:0009295;Glycogen storage disease VII, OMIM:232800	TRUE
PHF6	HGNC:18145	PHD finger protein 6	7	6	130;159;285;478;486;490;496	Childhood onset leukodystrophy;Cytopenias and congenital anaemias;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Severe early-onset obesity	Unknown;X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	BOERJESON-FORSSMAN-LEHMANN SYNDROME 301900;Borjeson-Forssman-Lehmann syndrome, OMIM:301900;Coffin-Siris syndrome;T-cell acute lymphoblastic leukemia	TRUE
PIGC	HGNC:8960	phosphatidylinositol glycan anchor biosynthesis class C	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Glycosylphosphatidylinositol biosynthesis defect 16;Glycosylphosphatidylinositol biosynthesis defect 16, OMIM:617816	TRUE
PIGQ	HGNC:14135	phosphatidylinositol glycan anchor biosynthesis class Q	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Multiple congenital anomalies-hypotonia-seizures syndrome 4;Multiple congenital anomalies-hypotonia-seizures syndrome-4 OMIM:618548;Multiple congenital anomalies-hypotonia-seizures syndrome-4, OMIM:618548	TRUE
PLCB1	HGNC:15917	phospholipase C beta 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 12;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 12 613722;Early Infantile Epileptic Encephalopathy, Autosomal Recessive;Epileptic encephalopathy, early infantile, 12;Epileptic encephalopathy, early infantile, 12, 613722	TRUE
PRNP	HGNC:9449	prion protein	7	6	20;85;180;265;288;488;847	Childhood onset dystonia, chorea or related movement disorder;Early onset dementia (encompassing fronto-temporal dementia and prion disease);Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary neuropathy;Pain syndromes;Structural basal ganglia disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Autosomal Dominant Ataxia;Cerebral amyloid angiopathy, PRNP-related 137440;Cerebral amyloid angiopathy, PRNP-related,	137440;Cerebral amyloid angiopathy, PRNP-related, OMIM:137440;Clinical syndrome Prion disease;Creutzfeldt-Jakob disease;Creutzfeldt-Jakob disease 123400;Creutzfeldt-Jakob disease, OMIM:123400;Dementia;Gerstmann-Straussler disease;Gerstmann-Straussler disease 137440;Gerstmann-Straussler disease, OMIM:137440;Huntington disease-like 1;Huntington disease-like 1 603218;Huntington disease-like 1, OMIM:603218;Insomnia, fatal familial	TRUE
PUF60	HGNC:17042	poly(U) binding splicing factor 60	7	6	101;247;285;478;486;490;496	Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Radial dysplasia;VACTERL-like phenotypes	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Chromosome 8q24.3 deletion syndrome;Intellectual disability;PUF60 syndrome;Syndromic intellectual disability;VRJS;Verheij syndrome, 615583;Verheij syndrome, OMIM:615583	TRUE
PURA	HGNC:9701	purine rich element binding protein A	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	INTELLECTUAL DISABILITY;Mental retardation, autosomal dominant 31;Neurodevelopmental disorder with neonatal respiratory insufficiency, hypotonia, and feeding difficulties;Neurodevelopmental disorder with neonatal respiratory insufficiency, hypotonia, and feeding difficulties, OMIM:616158	TRUE
PYCR1	HGNC:9721	pyrroline-5-carboxylate reductase 1	7	6	285;478;486;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	ARCL2B;CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB;CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB 612940;Cutis laxa, autosomal recessive, type IIB 612940;Cutis laxa, autosomal recessive, type IIB, 612940;Cutis laxa, autosomal recessive, type IIIB 614438;Cutis laxa, autosomal recessive, type IIIB, 614438;Cutis laxa, autosomal recessive, type IIb/IIIb (Disorders of ornithine or proline metabolism);Intellectual disability	TRUE
RNF13	HGNC:10057	ring finger protein 13	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Congenital Microcephaly Epileptic Encephalopathy Blindness and Failure to Thrive;Developmental and epileptic encephalopathy 73, OMIM:618379	TRUE
RNU2-2P	HGNC:10152	RNA, U2 small nuclear 2, pseudogene	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Developmental and epileptic encephalopathy 119, OMIM:621304;RNU2-2-related neurodevelopmental disorder with seizures and hyperventilation;complex neurodevelopmental disorder, MONDO:0100038	TRUE
ROBO1	HGNC:10249	roundabout guidance receptor 1	7	6	234;285;478;486;490;496;511	Albinism or congenital nystagmus;CAKUT;Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders	BIALLELIC, autosomal or pseudoautosomal	?Nystagmus 8, congenital, autosomal recessive, OMIM:257400;Intellectual disability, MONDO:0001071;MONDO:0957210;Neurooculorenal syndrome, OMIM:620305;OMIM:620305.0;ROBO1-related neurooculorenal syndrome	TRUE
RPL10	HGNC:10298	ribosomal protein L10	7	6	285;478;486;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	X-LINKED: hemizygous mutation in males, biallelic mutations in females	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, 35, OMIM:300998;Intellectual developmental disorder, X-linked syndromic 35, OMIM:300998;Intellectual disability, X-linked, syndromic, 35, MONDO:0030908;Mental retardation, X-linked, syndromic, 35;Mental retardation, X-linked, syndromic, 35, OMIM:300998	TRUE
SARS	HGNC:10537	seryl-tRNA synthetase	7	6	126;285;402;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	?Neurodevelopmental disorder with microcephaly, ataxia, and seizures, OMIM:617709;Autosomal dominant SARS1-related neurodevelopmental disorder;Neurodevelopmental disorder with microcephaly, ataxia, and seizures, OMIM:617709;SARS1-related neurodevelopmental disorder with microcephaly, ataxia, and seizures, OMIM:617709	TRUE
SHMT2	HGNC:10852	serine hydroxymethyltransferase 2	7	6	285;478;486;490;496;749;1220	Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Paediatric or syndromic cardiomyopathy;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Microcephaly;Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities, OMIM:619121;Polymicrogyria;SHMT2-related neurodevelopmental syndrome;corpus callosum anomalies	TRUE
SIK1	HGNC:11142	salt inducible kinase 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Epileptic encephalopathy, early infantile, 30;NEONATAL EPILEPSY SPECTRUM	TRUE
SLC12A6	HGNC:10914	solute carrier family 12 member 6	7	6	85;126;285;478;486;490;496	Childhood onset leukodystrophy;Fetal anomalies;Hereditary neuropathy;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal	AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY 218000;Agenesis of the corpus callosum with peripheral neuropathy, OMIM:218000;Charcot-Marie-Tooth disease, axonal, type 2II, OMIM:620068	TRUE
SLC1A2	HGNC:10940	solute carrier family 1 member 2	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	EPILEPTIC ENCEPHALOPATHY;Epileptic encephalopathy, early infantile, 41, OMIM:617105;developmental and epileptic encephalopathy, 41, MONDO:0014916	TRUE
SLC5A6	HGNC:11041	solute carrier family 5 member 6	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, infantile-onset, biotin-responsive, OMIM:618973;SLC5A6-related Neurodevelopmental Disorder;Sodium-dependent multivitamin transporter deficiency, OMIM:618973	TRUE
SLC6A1	HGNC:11042	solute carrier family 6 member 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	EPILEPSY WITH MYOCLONIC-ATONIC SEIZURES;Myoclonic-atonic epilepsy, OMIM:616421	TRUE
SMC3	HGNC:2468	structural maintenance of chromosomes 3	7	6	159;247;285;478;486;490;496	Childhood onset leukodystrophy;Cytopenias and congenital anaemias;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Radial dysplasia	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown;Unknown	Acute myeloid leukaemia (AML);CDLS3;CORNELIA DE LANGE SYNDROME 3;CORNELIA DE LANGE SYNDROME TYPE 3;CORNELIA DE LANGE SYNDROME TYPE 3 610759;Cornelia de Lange syndrome 3 610759;Cornelia de Lange syndrome 3, 610759;Especially in Down syndrome AML	TRUE
SOD1	HGNC:11179	superoxide dismutase 1	7	6	126;263;285;486;490;496;568	Amyotrophic lateral sclerosis/motor neuron disease;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 1, OMIM:105400;Spastic tetraplegia and axial hypotonia, progressive, OMIM:618598	TRUE
SPTBN1	HGNC:11275	spectrin beta, non-erythrocytic 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Developmental delay, impaired speech, and behavioral abnormalities, OMIM:619475;SPTBN1-related developmental disorder (monoallelic);autosomal dominant neurodevelopmental syndrome	TRUE
STAG1	HGNC:11354	stromal antigen 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual developmental disorder, autosomal dominant 47, OMIM:617635;Mental retardation, autosomal dominant 47 617635;Mental retardation, autosomal dominant 47, 617635;STAG1 syndromic intellectual disability;Syndromic unspecific intellectual disability	TRUE
STX1B	HGNC:18539	syntaxin 1B	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 9;GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 9 616172;Generalized epilepsy with febrile seizures plus, type 9, 616172	TRUE
STXBP1	HGNC:11444	syntaxin binding protein 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	ANGELMAN/PITT HOPKINS SYNDROME-LIKE DISORDER;Developmental and epileptic encephalopathy 4, OMIM:612164;EIEE4;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4 612164;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 4;Epileptic encephalopathy, early infantile, 4 612164;developmental and epileptic encephalopathy, 4, MONDO:0012812	TRUE
SYN1	HGNC:11494	synapsin I	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	X-LINKED: hemizygous mutation in males, biallelic mutations in females;X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	EPILEPSY, X-LINKED, WITH VARIABLE LEARNING DISABILITIES AND BEHAVIOR DISORDERS;EPILEPSY, X-LINKED, WITH VARIABLE LEARNING DISABILITIES AND BEHAVIOR DISORDERS 290927;Epilepsy, X-linked, with variable learning disabilities and behavior disorders 300491;Epilepsy, X-linked, with variable learning disabilities and behavior disorders, 300491	TRUE
SYNGAP1	HGNC:11497	synaptic Ras GTPase activating protein 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	EPILEPTIC ENCEPHALOPATHY;Intellectual developmental disorder, autosomal dominant 5, OMIM:612621;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 5 612621	TRUE
SZT2	HGNC:29040	SZT2, KICSTOR complex subunit	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 18,;Epileptic encephalopathy, early infantile, 18, 615476;INFANTILE ENCEPHALOPATHY WITH EPILEPSY AND DYSMORPHIC CORPUS CALLOSUM;absent developmental milestones;developmental delay;non-syndromic intellectual disability	TRUE
THRA	HGNC:11796	thyroid hormone receptor, alpha	7	6	31;126;285;478;486;490;496	Childhood onset leukodystrophy;Congenital hypothyroidism;Fetal anomalies;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Congenital hypothyroidism or thyroid agenesis;HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 6;HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 6 614450;Hypothyroidism, Congenital, Nongoitrous, 6, 614450;Hypothyroidism, congenital, nongoitrous, 6, 614450;Resistance to thyroid hormone;constipation;delayed dentition;growth retardation;macrocephaly;macrocytic anaemia;neurodevelopmental delay;skeletal dysplasia	TRUE
TIMM50	HGNC:23656	translocase of inner mitochondrial membrane 50	7	6	285;402;486;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type IX 617698;3-methylglutaconic aciduria, type IX, 617698;epilepsy and developmental delay;epileptic encephalopathy;intellectual disability and seizure	TRUE
TMEM240	HGNC:25186	transmembrane protein 240	7	6	20;285;486;488;490;496;847	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 21,  607454;Spinocerebellar ataxia 21, 607454;TMEM240-associated spinocerebellar ataxia and intellectual disability, OMIM:607454	TRUE
TRPM6	HGNC:17995	transient receptor potential cation channel subfamily M member 6	7	6	402;486;490;496;678;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Hypotonic infant;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood;Unexplained young onset end-stage renal disease	BIALLELIC, autosomal or pseudoautosomal	Hypomagnesaemia type 1, intestinal (Disorder of magnesium metabolism);Hypomagnesemia 1, intestinal 602014;Hypomagnesemia 1, intestinal, 602014;Hypomagnesemia with Secondary Hypocalcemia	TRUE
UBA5	HGNC:23230	ubiquitin like modifier activating enzyme 5	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 44, 617132;Intellectual disability;Severe Infantile-Onset Encephalopathy	TRUE
UBE2A	HGNC:12472	ubiquitin conjugating enzyme E2 A	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Mental retardation, X-linked syndromic, Nascimento-type;Mental retardation, X-linked syndromic, Nascimento-type, 300860;UBE2A-RELATED X-LINKED SYNDROMIC MENTAL RETARDATION;UBE2A-RELATED X-LINKED SYNDROMIC MENTAL RETARDATION 319562	TRUE
UBE3A	HGNC:12496	ubiquitin protein ligase E3A	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)	ANGELMAN SYNDROME;ANGELMAN SYNDROME 105830;Angelman syndrome 105830;Angelman syndrome, 105830	TRUE
UBTF	HGNC:12511	upstream binding transcription factor, RNA polymerase I	7	6	285;478;486;488;490;496;847	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Childhood-Onset Neurodegeneration;Neurodegeneration, childhood-onset, with brain atrophy, OMIM:617672	TRUE
UFM1	HGNC:20597	ubiquitin fold modifier 1	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy hypomyelinating 14, 617899;Leukodystrophy, hypomyelinating, 14, 617899;Leukodystrophy, hypomyelinating, 14, OMIM:617899;Severe early-onset encephalopathy with progressive microcephaly,;global developmental delay with progressive microcephaly	TRUE
UMPS	HGNC:12563	uridine monophosphate synthetase	7	6	285;478;486;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Intellectual disability;OROTIC ACIDURIA TYPE 1;OROTIC ACIDURIA TYPE 1 (ORAC1);OROTIC ACIDURIA TYPE 1 258900;Orotic aciduria;Orotic aciduria (Disorders of pyrimidine metabolism)	TRUE
UNC80	HGNC:26582	unc-80 homolog, NALCN channel complex subunit	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Hypotonia, infantile, with psychomotor retardation and characteristic facies 2, OMIM:616801;Persistent Hypotonia, Encephalopathy, Growth Retardation, and Severe Intellectual Disability	TRUE
WARS2	HGNC:12730	tryptophanyl tRNA synthetase 2, mitochondrial	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures, 617710;Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures, OMIM:617710	TRUE
YWHAG	HGNC:12852	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Early-Onset Epilepsy;Epileptic encephalopathy, early infantile 56, 617665;Epileptic encephalopathy, early infantile, 56 617665;Intellectual disability	TRUE
ZDHHC9	HGNC:18475	zinc finger DHHC-type containing 9	7	6	285;402;478;486;490;496;1220	Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Intellectual developmental disorder, X-linked syndromic, Raymond type, OMIM:300799;MENTAL RETARDATION SYNDROMIC X-LINKED ZDHHC9-RELATED;Mental retardation, X-linked syndromic, Raymond type, OMIM:300799;epilepsy;intellectual disability	TRUE
ACER3	HGNC:16066	alkaline ceramidase 3	6	6	285;486;490;496;568;847	Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Hypotonic infant;Intellectual disability;Paediatric disorders	BIALLELIC, autosomal or pseudoautosomal	ACER3-related leukodystrophy, OMIM:617762;Leukodystrophy, progressive, early childhood-onset, OMIM:617762	TRUE
