gene_symbol	panelapp_phenotype
CNNM2	Hypomagnesemia 6, renal 613882
CNNM2	Hypomagnesemia 6, renal, OMIM:613882
CNNM2	Hypomagnesemia, seizures, and mental retardation 616418
CNNM2	Hypomagnesemia, seizures, and mental retardation, MONDO:0014631
CNNM2	Hypomagnesemia, seizures, and mental retardation, OMIM:616418
CNNM2	autosomal recessive form
CNNM2	renal hypomagnesemia 6, MONDO:0013480
COA7	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 OMIM:618387
COA7	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3, 618387
COA7	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3, OMIM:618387
COA7	spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 MONDO:0020770
COL4A2	Brain small vessel disease 2, OMIM:614483
COL4A2	PORENCEPHALY 2
COL4A2	PORENCEPHALY 2 614483
COL4A2	Porencephaly 2 614483
COL4A2	Porencephaly 2, 614483{Hemorrhage, intracerebral, susceptibility to}, 614519
COL4A2	{Hemorrhage, intracerebral, susceptibility to}, OMIM:614519
COQ8B	Nephrotic syndrome, type 9
COQ8B	Nephrotic syndrome, type 9 #615573
COQ8B	Nephrotic syndrome, type 9 615573
COQ8B	Retinitis pigmentosa, MONDO:0019200
COX20	Complex IV Mitochondrial respiratory chain disorders caused by nuclear variants only
COX20	Isolated complex IV deficiency
COX20	Mitochondrial complex IV deficiency, 220110
COX20	Mitochondrial complex IV deficiency, nuclear type 11, OMIM:619054
COX20	OXPHOS assembly factors
CTSA	GALACTOSIALIDOSIS
CTSA	GALACTOSIALIDOSIS (GSL)
CTSA	GALACTOSIALIDOSIS 256540
CTSA	Galactosialidosis
CTSA	Galactosialidosis 256540
CTSA	Galactosialidosis, 256540
DCX	LISSENCEPHALY X-LINKED TYPE 1 300067
DCX	Lissencephaly, X-linked, OMIM:300067
DCX	SUBCORTICAL BAND HETEROTOPIA X-LINKED 300067
DCX	Subcortical laminal heterotopia, X-linked, OMIM:300067
DNM1L	DNM1L-related developmental disorder (monoallelic)
DNM1L	Disorders of mitochondrial dynamics, fusion and fission (Mitochondrial respiratory chain disorders (caused by nuclear variants only))
DNM1L	Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission
DNM1L	Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission, 614388
DNM1L	Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1, 614388
DNM1L	Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1, MIM#614388
DNM1L	refractory epilepsy
DNM1L	refractory focal status epilepticus
DNM2	Centronuclear myopathy
DNM2	Centronuclear myopathy 1 160150
DNM2	Centronuclear myopathy 1, 160150
DNM2	Centronuclear myopathy 1, OMIM:160150
DNM2	Charcot Marie Tooth disease, axonal, type 2M, 606482
DNM2	Charcot Marie Tooth disease, dominant intermediate B, 606482
DNM2	Charcot-Marie-Tooth disease, axonal type 2M 606482
DNM2	Charcot-Marie-Tooth disease, axonal type 2M, 606482
DNM2	Charcot-Marie-Tooth disease, dominant intermediate B	606482
DNM2	Charcot-Marie-Tooth disease, dominant intermediate B, 606482
DNM2	Charcot-Marie-Tooth, Intermediate
DNM2	Lethal congenital contracture syndrome 5, 615368
DNM2	Lethal congenital contracture syndrome 5, OMIM:615368
DNM2	Myopathy, centronuclear, 160150
DPYD	5-fluorouracil toxicity	274270
DPYD	5-fluorouracil toxicity 274270
DPYD	Dihydropyrimidine dehydrogenase deficiency
DPYD	Dihydropyrimidine dehydrogenase deficiency	274270
DPYD	Dihydropyrimidine dehydrogenase deficiency  274270
DPYD	Dihydropyrimidine dehydrogenase deficiency (Disorders of pyrimidine metabolism)
DPYD	Dihydropyrimidine dehydrogenase deficiency 274270
DPYD	Dihydropyrimidine dehydrogenase deficiency, 2742705-fluorouracil toxicity, 274270
ELAC2	Combined oxidative phosphorylation deficiency 17, 615440
ELAC2	Combined oxidative phosphorylation deficiency 17, OMIM:615440
ELAC2	INFANTILE HYPERTROPHIC CARDIOMYOPATHY, LACTIC ACIDOSIS, AND ISOLATED COMPLEX I DEFICIENCY
ELAC2	INFANTILE HYPERTROPHIC CARDIOMYOPATHY, LACTIC ACIDOSIS, AND ISOLATED COMPLEX I DEFICIENCY 252010
ELAC2	Multiple respiratory chain complex deficiencies (disorders of protein synthesis)
ELAC2	infantile hypertrophic cardiomyopathy, lactic acidosis, and isolated complex I deficiency
EOGT	ADAMS OLIVER SYNDROME
EOGT	ADAMS-OLIVER SYNDROME
EOGT	Adams Oliver syndrome 4
EOGT	Adams Oliver syndrome 4, 615297
EOGT	Adams-Oliver syndrome 4 MONDO:0014124
EOGT	Adams-Oliver syndrome 4 OMIM:615297
EOGT	Adams-Oliver syndrome 4, 615297
EZH2	Myelodysplastic syndrome (MDS), Paediatric
EZH2	WEAVER SYNDROME 2
EZH2	WEAVER SYNDROME 2 614421
EZH2	Weaver Syndrome
EZH2	Weaver syndrome
EZH2	Weaver syndrome 2
EZH2	Weaver syndrome, 277590
GALE	EPIMERASE-DEFICIENCY GALACTOSEMIA
GALE	EPIMERASE-DEFICIENCY GALACTOSEMIA (EDG)
GALE	EPIMERASE-DEFICIENCY GALACTOSEMIA 230350
GALE	Galactose epimerase deficiency, 230350
GALE	Galactose epimerase deficiency, OMIM:230350
GALE	Intellectual disability
GALE	MONDO:0009257
GALE	Uridine diphosphate galactose-4-epimerase deficiency (Disorders of galactose metabolism)
GLDC	GLDC-RELATED GLYCINE ENCEPHALOPATHY
GLDC	GLDC-RELATED GLYCINE ENCEPHALOPATHY 605899
GLDC	Glycine encephalopathy, 605899
GLDC	seizures
GLUL	CONGENITAL SYSTEMIC GLUTAMINE DEFICIENCY
GLUL	CONGENITAL SYSTEMIC GLUTAMINE DEFICIENCY 610015
GLUL	Developmental and epileptic encephalopathy 116, OMIM:620806
GLUL	Glutamine deficiency, congenital 610015
GLUL	Glutamine deficiency, congenital, OMIM:610015
GLUL	congenital brain dysgenesis due to glutamine synthetase deficiency, MONDO:0012393
GLUL	developmental and epileptic encephalopathy 116, MONDO:0970945
GM2A	GM2-GANGLIOSIDOSIS TYPE AB
GM2A	GM2-GANGLIOSIDOSIS TYPE AB (GM2GAB)
GM2A	GM2-GANGLIOSIDOSIS TYPE AB 272750
GM2A	GM2-gangliosidosis, AB variant, 272750
GM2A	Hexosaminidase activator deficiency
GM2A	Tay-Sachs disease
GM2A	seizures
GMPPA	Alacrima, achalasia, and mental retardation syndrome (MIM# 615510)
GMPPA	GLYCOSYLATION DISORDER CHARACTERIZED BY INTELLECTUAL DISABILITY AND AUTONOMIC DYSFUNCTION
GNPAT	Chondrodysplasia punctata, rhizomelic, type 2, 222765
GNPAT	Confirmed DD gene for Rhizomelic Chondrodysplasia Punctata type 2
GNPAT	RCDP2
GNPAT	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA TYPE 2
GNPAT	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA TYPE 2 (RCDP2)
GNPAT	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA TYPE 2 222765
GNPAT	Rhizomelic Chondrodysplasia Punctata
GNPAT	Rhizomelic chondrodysplasia punctata type 2
GNPAT	Rhizomelic chondrodysplasia punctata type 2 (Peroxisomal disorders)
GNPAT	Rhizomelic chondrodysplasia punctata, type 2 222765
GNPAT	rhizomelic chondrodysplasia punctata type 2 (RCDP2)
GNPTG	Genetic Retinal Degeneration Conditions
GNPTG	MUCOLIPIDOSIS TYPE III COMPLEMENTATION GROUP C
GNPTG	MUCOLIPIDOSIS TYPE III COMPLEMENTATION GROUP C (MLIIIC)
GNPTG	MUCOLIPIDOSIS TYPE III COMPLEMENTATION GROUP C 252605
GNPTG	Mucolipidosis III gamma
GNPTG	Mucolipidosis III gamma 252605
GNPTG	Mucolipidosis III, Pseudo-Hurler polydystrophy (Other lysosomal disorders)
GNPTG	Mucolipidosis, Type III Gamma
GNPTG	mucolipidpsis type III complementation group C
GORAB	Geroderma osteodysplasticum
GORAB	Geroderma osteodysplasticum 231070
GORAB	Geroderma osteodysplasticum OMIM:231070
GORAB	geroderma osteodysplastica MONDO:0009271
HECW2	HECW2
HECW2	Neurodevelopmental disorder with hypotonia, seizures, and absent language
HECW2	Neurodevelopmental disorder with hypotonia, seizures, and absent language 617268
HECW2	Neurodevelopmental disorder with hypotonia, seizures, and absent language, OMIM:617268
HSD17B10	2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY
HSD17B10	2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY 300438
HSD17B10	HSD10 mitochondrial disease, OMIM:300438
HSD17B10	MENTAL RETARDATION SYNDROMIC X-LINKED TYPE 10
HSD17B10	MENTAL RETARDATION SYNDROMIC X-LINKED TYPE 10 300220
JAM3	HEMORRHAGIC DESTRUCTION OF THE BRAIN, SUBEPENDYMAL CALCIFICATION, AND CATARACTS
JAM3	HEMORRHAGIC DESTRUCTION OF THE BRAIN, SUBEPENDYMAL CALCIFICATION, AND CATARACTS 613730
JAM3	Haemorrhagic destruction of the brain, subependymal calcification, and cataracts, OMIM:613730
JAM3	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts
JAM3	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts, 613730
KCNH1	Encephalopathy without features of TBS/ZLS
KCNH1	Hypoplasia of terminal phalanges
KCNH1	Intellectual disability
KCNH1	TEMPLE BARRAISTER SYNDROME 611816
KCNH1	Temple-Baraitser syndrome, 611816
KCNH1	Temple-Baraitser syndrome, OMIM:611816
KCNH1	Zimmermann-Laband syndrome 1, OMIM:135500
KIAA1109	Alkuraya-Kucinskas syndrome 617822
KIAA1109	Alkuraya-Kucinskas syndrome, 617822
KIAA1109	Alkuraya-Kucinskas syndrome,617822
KIAA1109	Brain atrophy, Dandy Walker and Contractures
KIAA1109	seizures
LIPA	Cholesteryl ester storage disease
LIPA	Cholesteryl ester storage disease 278000
LIPA	Fetal hydrops
LIPA	Lysosomal Acid Lipase Deficiency
LIPA	Neonatal and Adult Cholestasis
LIPA	Wolman disease 278000
LIPA	Wolman disease, 278000
LIPA	cholestasis
LIPA	lysosomal acid lipase deficiency
LONP1	CODAS (Cerebral, Ocular, Dental, Auricular and Skeletal anomalies) syndrome 600373
LONP1	CODAS (cerebral, ocular, dental, auricular and skeletal) syndrome (MIM 600373)
LONP1	CODAS SYNDROME 600373
LONP1	CODAS syndrome, 600373
LONP1	CODAS syndrome, MONDO:0010879
LONP1	CODAS syndrome, OMIM:600373
LONP1	Cerebral, ocular, dental, auricular, and skeletal anomalies syndrome
MICU1	MYOPATHY WITH EXTRAPYRAMIDAL SIGNS
MICU1	MYOPATHY WITH EXTRAPYRAMIDAL SIGNS 615673
MICU1	Myopathy with extrapyramidal signs 615673
MICU1	Myopathy with extrapyramidal signs, 615673
MICU1	Myopathy with extrapyramidal signs, OMIM:615673
MLYCD	3.5.1.  Malonyl CoA decarboxylase deficiency Other disorders of fatty acid and ketone body metabolism)
MLYCD	HCM
MLYCD	Hypertrophic-hypocontractile cardiomyopathy
MLYCD	MALONYL-COA DECARBOXYLASE DEFICIENCY
MLYCD	MALONYL-COA DECARBOXYLASE DEFICIENCY 167676
MLYCD	Malonic aciduria
MLYCD	Malonyl-CoA decarboxylase deficiency
MLYCD	Malonyl-CoA decarboxylase deficiency (Organic acidurias)
MLYCD	Malonyl-CoA decarboxylase deficiency, 248360
MLYCD	Mild clinical features. Developmental delay, epilepsy
MLYCD	malonic aciduria
MOCS1	MOLYBDENUM COFACTOR DEFICIENCY
MOCS1	MOLYBDENUM COFACTOR DEFICIENCY 603707
MOCS1	Molybdenum cofactor deficiency A 252150
MOCS1	Molybdenum cofactor deficiency, type A, 252150
MOCS2	MOLYBDENUM COFACTOR DEFICIENCY
MOCS2	MOLYBDENUM COFACTOR DEFICIENCY 603707
MOCS2	Molybdenum cofactor deficiency B 252160
MOCS2	Molybdenum cofactor deficiency, type B, 252150
MSMO1	Microcephaly, congenital cataract, and psoriasiform dermatitis, OMIM:616834
MSMO1	Microcephaly-congenital cataract-psoriasiform dermatitis syndrome, MONDO:0014793
MSMO1	Sterol-C4-methyl oxidase deficiency (Disorders of sterol biosynthesis)
MTO1	Combined oxidative phosphorylation deficiency 10, 614702
MTO1	Combined oxidative phosphorylation deficiency 10, OMIM:614702
MTO1	INFANTILE HYPERTROPHIC CARDIOMYOPATHY AND LACTIC ACIDOSIS
MTO1	INFANTILE HYPERTROPHIC CARDIOMYOPATHY AND LACTIC ACIDOSIS 614702
MTO1	Multiple respiratory chain complex deficiencies (disorders of protein synthesis)
MTO1	Required for mitochondrial gene expression  (Mitochondrial respiratory chain disorders (caused by nuclear variants only))
MTO1	infantile hypertrophic cardiomyopathy and lactic acidosis.
MTO1	mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency, MONDO:0013865
NDE1	?Microhydranencephaly 605013
NDE1	Cerebral Malformation Disorders
NDE1	LISSENCEPHALY 4
NDE1	LISSENCEPHALY 4 (WITH MICROCEPHALY)
NDE1	LISSENCEPHALY 4 614019
NDE1	Lissencephaly 4 (with microcephaly) 614019
NDE1	Lissencephaly 4 (with microcephaly), 614019
NDE1	Lissencephaly, Recessive
NIPBL	CDLS1
NIPBL	CORNELIA DE LANGE SYNDROME 1
NIPBL	CORNELIA DE LANGE SYNDROME TYPE 1
NIPBL	CORNELIA DE LANGE SYNDROME TYPE 1 (CDLS1)
NIPBL	CORNELIA DE LANGE SYNDROME TYPE 1 122470
NIPBL	Cornelia de Lange syndrome 1 122470
NIPBL	Cornelia de Lange syndrome 1, 122470
NIPBL	Dislocation of the radial head
NIPBL	upper limb anomalies
NSDHL	CHILD syndrome 308050 XLD
NSDHL	CHILD syndrome, 308050CK syndrome, 300831
NSDHL	CK SYNDROME
NSDHL	CK SYNDROME 300831
NSDHL	CK syndrome 300831
NSDHL	CK syndrome 300831 XLR
NSDHL	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS
NSDHL	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS (CHILD)
NSDHL	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS 308050
NSDHL	Congenital hemidysplasia with ichtyosiform erythroderma and limb defects (Disorders of sterol biosynthesis)
NSDHL	Congenital hemidysplasia, ichthyosis, limb defects (CHILD) syndrome 308050
PARN	Combined immunodeficiencies with associated or syndromic features
PARN	Dyskeratosis congenita, autosomal recessive 6
PARN	Dyskeratosis congenita, autosomal recessive 6 616353
PARN	Dyskeratosis congenita, autosomal recessive 6, OMIM:616353
PARN	Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients
PARN	Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 4, OMIM:616371
PARN	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4, OMIM:616371
PARN	Pulmonary fibrosis and/or bone marrow failure,telomere-related, 4 616371
PARN	pulmonary fibrosis and/or bone marrow failure, Telomere-related, 4, MONDO:0014612
PEPD	Autoantibodies common, chronic skin ulcers, eczema, infections
PEPD	Diseases of Immune Dysregulation
PEPD	PROLIDASE DEFICIENCY
PEPD	PROLIDASE DEFICIENCY (PD)
PEPD	PROLIDASE DEFICIENCY 170100
PEPD	Prolidase deficiency 170100
PEPD	Prolidase deficiency, 170100
PIBF1	JOUBERT SYNDROME 33, OMIM:617767
PIBF1	Joubert syndrome
PIBF1	Joubert syndrome 33
PIBF1	Joubert syndrome 33, MONDO:0033311
PIBF1	Joubert syndrome 33, OMIM:617767
PIBF1	OMIM #617767
PIBF1	ataxia
PIBF1	developmental delay
PIBF1	superior cerebellar dysplasia
PIBF1	thick superior cerebellar peduncles
PIBF1	vermis hypoplasia
PINK1	Dystonia
PINK1	Parkinson Disease 6, Autosomal Recessive Early-Onset
PINK1	Parkinson disease 6, early onset 605909
PINK1	Parkinson disease 6, early onset, 605909
PKD2	Autosomal Dominant Polycystic Kidney Disease
PKD2	Polycystic Kidney Disease, Autosomal Dominant
PKD2	Polycystic kidney disease 2, 613095
PKD2	Polycystic kidney disease 2, OMIM:613095
PKD2	Polycystic kidney disease 613095
PKD2	dilated cardiomyopathy, MONDO:0005021
PKD2	polycystic kidney disease 2, MONDO:0013131
POLR1C	248390
POLR1C	Bilateral Microtia
POLR1C	Causes Treacher Collins syndrome which is highly variable
POLR1C	Leukodystrophy, hypomyelinating, 11
POLR1C	Leukodystrophy, hypomyelinating, 11	616494
POLR1C	Leukodystrophy, hypomyelinating, 11, OMIM:616494
POLR1C	TCS3
POLR1C	TREACHER COLLINS SYNDROME 3
POLR1C	TREACHER COLLINS SYNDROME TYPE 3
POLR1C	TREACHER COLLINS SYNDROME TYPE 3 248390
POLR1C	Treacher Collins syndrome 3
POLR1C	Treacher Collins syndrome 3 248390
PPOX	Porphyria variegata, 176200
PPOX	Skin photosensitivity. Acute episodes similar to AIP
PPOX	Variegate porphyria, OMIM:176200
PPOX	Variegate porphyria, childhood-onset, OMIM:620483
PPOX	variegate porphyria, MONDO:0008297
PPOX	variegate porphyria, childhood-onset, MONDO:0957577
PRPF8	Eye Disorders
PRPF8	PRPF8-related developmental disorder (monoallelic)
PRPF8	Retinitis  pigmentosa 13
PRPF8	Retinitis Pigmentosa, Dominant
PRPF8	Retinitis pigmentosa
PRPF8	Retinitis pigmentosa 13, 600059
PRPF8	Retinitis pigmentosa 13, OMIM:600059
PYGM	Glycogen storage disease V McArdle disease	232600	AR
PYGM	Glycogen storage disease V, MONDO:0009293
PYGM	Glycogen storage disease type V, McArdle (Glycogen storage disorders)
PYGM	McArdle disease 232600
PYGM	McArdle disease, 232600
PYGM	McArdle disease, OMIM:232600
PYGM	macular dystrophy, retinal, MONDO:0031166
RAB39B	Intellectual developmental disorder, X-linked 72, OMIM:300271
RAB39B	MENTAL RETARDATION X-LINKED TYPE 72 (MRX72) +/- PARKINSONS 300271
RAB39B	Waisman syndrome 311510
RAB39B	Waisman syndrome, OMIM:311510
RAB39B	early-onset parkinsonism and intellectual disability
RORA	INTELLECTUAL DISABILITY
RORA	Intellectual developmental disorder with or without epilepsy or cerebellar ataxia OMIM:618060
RORA	Intellectual developmental disorder with or without epilepsy or cerebellar ataxia,	618060
RORA	Intellectual developmental disorder with or without epilepsy or cerebellar ataxia, 618060
RORA	intellectual developmental disorder with or without epilepsy or cerebellar ataxia MONDO:0060745
SC5D	Cataracts
SC5D	Intellectual disability
SC5D	LATHOSTEROLOSIS
SC5D	LATHOSTEROLOSIS (LATHST)
SC5D	LATHOSTEROLOSIS 607330
SC5D	Lathosterolosis, 607330
SC5D	Polydactyly
SETBP1	DEVELOPMENTAL AND EXPRESSIVE LANGUAGE DELAY
SETBP1	Intellectual developmental disorder, autosomal dominant 29, OMIM: 616078
SETBP1	Myelodysplastic syndrome (MDS), Paediatric
SETBP1	SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME
SETBP1	SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME 269150
SETBP1	Schinzel-Giedion midface retraction syndrome, OMIM: 269150
SETBP1	Schinzel-Giedion syndrome, MONDO:0010010
SLC13A5	Delayed psychomotor development.
SLC13A5	EPILEPTIC ENCEPHALOPATHY WITH SEIZURE ONSET IN THE FIRST DAYS OF LIFE
SLC13A5	Epileptic encephalopathy
SLC13A5	Epileptic encephalopathy, early infantile 25, EIEE 25, MIM#615905
SLC13A5	Epileptic encephalopathy, early infantile, 25
SLC13A5	Plasma membrane citrate transporter deficiency
SLC25A12	Delayed psychomotor development
SLC25A12	Disorders of mitochondrial solute import (Mitochondrial respiratory chain disorders (caused by nuclear variants only))
SLC25A12	Epileptic encephalopathy with global cerebral demyelination
SLC25A12	Epileptic encephalopathy, early infantile, 39 612949
SLC25A12	Epileptic encephalopathy, early infantile, 39,612949
SLC25A12	Hypomyelination, global cerebral
SLC25A12	Hypomyelination, global cerebral	612949
SLC25A12	Hypomyelination, global cerebral, 612949
SLC25A12	Inherited white matter disorders
SLC39A4	Acrodermatitis enteropathica (Disorder of zinc metabolism)
SLC39A4	Acrodermatitis enteropathica 201100 (Disorder of zinc metabolism)
SLC39A4	Acrodermatitis enteropathica, OMIM:201100
SLC39A4	Disorder of zinc metabolism
SLC5A7	Congenital Myasthenic Syndrome with Episodic Apnea
SLC5A7	Congenital myasthenic syndrome 20, MONDO:0014939
SLC5A7	Myasthenic syndrome, congenital, 20, presynaptic, OMIM:617143
SLC5A7	Neuronopathy, distal hereditary motor, type VIIA
SLC5A7	Neuronopathy, distal hereditary motor, type VIIA   158580
SLC6A8	Cerebral creatine deficiency syndrome 1 300352
SLC6A8	Cerebral creatine deficiency syndrome 1, 300352
SLC6A8	Creatine transporter deficiency (Mitochondrial respiratory chain disorders (caused by nuclear variants only), disorders of creatinine metabolism)
SLC6A8	Intellectual disability
SLC6A8	X-LINKED CREATINE DEFICIENCY SYNDROME
SLC6A8	X-LINKED CREATINE DEFICIENCY SYNDROME (XL-CDS)
SLC6A8	X-LINKED CREATINE DEFICIENCY SYNDROME 300352
SMS	MENTAL RETARDATION, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE
SMS	MRXSSR
SMS	Mental retardation, X-linked, Snyder-Robinson type 309583
SMS	Mental retardation, X-linked, Snyder-Robinson type, 309583
SMS	Mental retardation, X-linked, Snyder-Robinson type, OMIM:309583
SMS	SNYDER-ROBINSON SYNDROME (SRS)
SMS	SNYDER-ROBINSON SYNDROME 309583
SMS	Syndromic X-linked intellectual disability Snyder type, MONDO:0010664
SPART	Hereditary Neuropathies
SPART	Spastic paraplegia 20
SPART	Troyer syndrome, OMIM:275900
SSR4	CDG syndrome type Iy
SSR4	Congenital disorder of glycosylation, type Iy 300934
SSR4	Congenital disorder of glycosylation, type Iy, 300934
SSR4	SSR4-CDG
TALDO1	Fetal hydrops
TALDO1	Transaldolase deficiency
TALDO1	Transaldolase deficiency 606003
TALDO1	Transaldolase deficiency, 606003
TARS2	Combined oxidative phosphorylation deficiency 21, OMIM: 615918
TARS2	Combined oxidative phosphorylation deficiency 21, OMIM:615918
TARS2	Combined oxidative phosphorylation deficiency 21, OMIM:615918, MONDO:0014398
TARS2	combined oxidative phosphorylation defect type 21, MONDO:0014398
TARS2	combined oxidative phosphorylation defect type 21,NDO:0014398
TCF4	PITT-HOPKINS SYNDROME
TCF4	PITT-HOPKINS SYNDROME (PTHS)
TCF4	PITT-HOPKINS SYNDROME 610954
TCF4	Pitt-Hopkins syndrome	610954
TCF4	Pitt-Hopkins syndrome, 610954
TCF4	paediatric cataracts
TOE1	PONTOCEREBELLAR HYPOPLASIA
TOE1	Pontocerebellar hypoplasia type 7, MONDO:0013993
TOE1	Pontocerebellar hypoplasia, type 7  614969
TOE1	Pontocerebellar hypoplasia, type 7, OMIM:614969
VPS11	?Dystonia 32, OMIM:619637
VPS11	Leukodystrophy, hypomyelinating, 12
VPS11	Leukodystrophy, hypomyelinating, 12 (MIM 616683)
VPS11	Leukodystrophy, hypomyelinating, 12, 616683
VPS11	Leukodystrophy, hypomyelinating, 12, OMIM:616683
VPS11	dystonia 32, MONDO:0030486
WDR37	Neurooculocardiogenitourinary syndrome
WDR37	Neurooculocardiogenitourinary syndrome, OMIM:618652
WDR37	SYNDROMIC INTELLECTUAL DISABILITY 612100
YIPF5	Microcephaly, epilepsy, and diabetes syndrome 2, OMIM:619278
ACTG2	Berdon syndrome
ACTG2	CAKUT
ACTG2	Fetal Megacystis
ACTG2	Megacystis-microcolon intestinal  hypoperistalsis syndrome
ACTG2	Megacystis-microcolon-intestinal hypoperistalsis syndrome 5, OMIM:619431
ACTG2	Visceral myopathy	(Megacystis-microcolon intestinal  hypoperistalsis syndrome,  Berdon syndrome) 155310
ACTG2	Visceral myopathy 1, OMIM:155310
ACTG2	Visceral myopathy 155310
ACTG2	Visceral myopathy, 155310
ACTG2	visceral myopathy
AFF3	AFF3-related KINSSHIP syndrome, OMIM:619297
AFF3	AFF3-related intellectual disability
AFF3	KINSSHIP syndrome, OMIM:619297
AHCY	AHCY deficiency
AHCY	Disorders of the metabolism of sulphur amino acids
AHCY	Fetal hydrops
AHCY	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, 613752
AHCY	S-adenosylhomocysteine hydrolase deficiency
AHCY	non-immune hydrops
ANKRD11	KBG SYNDROME
ANKRD11	KBG SYNDROME 148050
ANKRD11	KBG syndrome 148050
ANKRD11	KBG syndrome, 148050
ANKRD11	KBG syndrome,148050 (orofacial clefting, intellectual disability, dental anomalies, dysmorphism)
ANKRD11	Orofacial Clefting with skeletal features
ANKRD11	Short stature-facial and skeletal anomalies-intellectual disability-macrodontia syndrome
AP4E1	CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 4 613744
AP4E1	Hereditary spastic paraplegia 51, MONDO:0013401
AP4E1	Spastic paraplegia 51, autosomal recessive, OMIM:613744
AP4S1	CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 6
AP4S1	CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 6 614067
AP4S1	Spastic paraplegia 52, autosomal recessive
AP4S1	Spastic paraplegia 52, autosomal recessive, 614067
AP4S1	Spastic paraplegia 52, autosomal recessive, OMIM:614067
AP4S1	developmental delay
AP4S1	seizures
APC2	Cortical dysplasia, complex, with other brain malformations 10 OMIM:618677
APC2	Cortical dysplasia, complex, with other brain malformations 10, OMIM:618677
APC2	Lissencephaly, Subcortical Heterotopia, and Global Developmental Delay
ARF3	ARF3-related neurodevelopmental disorder
ARF3	Global developmental delay
ARF3	Intellectual disability, MONDO:0001071
ARF3	Morphological abnormality of the central nervous system
ARF3	Neurodevelopmental disorder, brain abnormality
ARF3	Seizures
ARF3	microcephaly, MONDO:0001149
ARFGEF2	PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY
ARFGEF2	PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY 608097
ARFGEF2	Periventricular heterotopia with microcephaly 608097
ARFGEF2	Periventricular heterotopia with microcephaly, 608097
ARFGEF2	Periventricular heterotopia with microcephaly, OMIM:608097
ARFGEF2	Periventricular nodular heterotopia
ARID1B	COFFIN SIRIS SYNDROME
ARID1B	COFFIN SIRIS SYNDROME 135900
ARID1B	Coffin-Siris
ARID1B	Coffin-Siris syndrome 1, 135900
ARID1B	Coffin-Siris syndrome 1, OMIM:135900
ARID1B	Coffin-Siris syndrome type 1 - 135900
ARID1B	MENTAL RETARDATION, AUTOSOMAL DOMINANT 12
ARID1B	MENTAL RETARDATION, AUTOSOMAL DOMINANT 12 135900
ARID1B	Mental retardation, autosomal dominant 12, 614562
ASNS	Asparagine synthetase deficiency 615574
ASNS	Asparagine synthetase deficiency OMIM:615574
ASNS	Asparagine synthetase deficiency, 615574
ASNS	Asparagine synthetase deficiency, OMIM:615574
ASNS	congenital microcephaly, intellectual disability, progressive cerebral atrophy, intractable seizures
ASXL3	BAINBRIDGE-ROPERS SYNDROME 615485
ASXL3	Bainbridge-Ropers syndrome, OMIM:615115
ASXL3	Bainbridge-Ropers syndrome, OMIM:615485
BAP1	BAP1-associated neurodevelopmental syndrome
BAP1	Kury-Isidor syndrome, OMIM:619762
BAP1	Tumor predisposition syndrome 1, OMIM:614327
BAP1	{Uveal melanoma, susceptibility to, 2}, OMIM:606661
