gene_symbol	moi
SLC25A15	BIALLELIC, autosomal or pseudoautosomal
SLC25A20	BIALLELIC, autosomal or pseudoautosomal
SLC25A22	BIALLELIC, autosomal or pseudoautosomal
SLC25A38	BIALLELIC, autosomal or pseudoautosomal
SLC7A7	BIALLELIC, autosomal or pseudoautosomal
SMPD4	BIALLELIC, autosomal or pseudoautosomal
SPEG	BIALLELIC, autosomal or pseudoautosomal
STRA6	BIALLELIC, autosomal or pseudoautosomal
TAF1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
TAF1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TECPR2	BIALLELIC, autosomal or pseudoautosomal
TRAF7	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TRAF7	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRIM37	BIALLELIC, autosomal or pseudoautosomal
UNC13A	BIALLELIC, autosomal or pseudoautosomal
UNC13A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
UNC13A	Unknown
VCP	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
VCP	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZMYM2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ZMYM2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ABHD16A	BIALLELIC, autosomal or pseudoautosomal
ACTA1	BIALLELIC, autosomal or pseudoautosomal
ACTA1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
ACTA1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ACTA1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ACY1	BIALLELIC, autosomal or pseudoautosomal
ALKBH8	BIALLELIC, autosomal or pseudoautosomal
ANK2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ANK2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AP4M1	BIALLELIC, autosomal or pseudoautosomal
ARF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ARF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ARSE	X-LINKED: hemizygous mutation in males, biallelic mutations in females
ARV1	BIALLELIC, autosomal or pseudoautosomal
ASS1	BIALLELIC, autosomal or pseudoautosomal
ATIC	BIALLELIC, autosomal or pseudoautosomal
ATP6V0C	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ATP6V0C	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CAMK2D	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CAMK2D	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CDC42	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CDC42	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CEP120	BIALLELIC, autosomal or pseudoautosomal
CEP164	BIALLELIC, autosomal or pseudoautosomal
CEP55	BIALLELIC, autosomal or pseudoautosomal
CHD2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHD2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CHST6	BIALLELIC, autosomal or pseudoautosomal
CIAO1	BIALLELIC, autosomal or pseudoautosomal
CLDN11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CNKSR2	X-LINKED: hemizygous mutation in males, biallelic mutations in females
CNKSR2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
CPLX1	BIALLELIC, autosomal or pseudoautosomal
CUX1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CUX1	Unknown
CUX2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CUX2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DEAF1	BIALLELIC, autosomal or pseudoautosomal
DEAF1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
DHPS	BIALLELIC, autosomal or pseudoautosomal
DLD	BIALLELIC, autosomal or pseudoautosomal
DNM1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
DNM1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DNM1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DNMT3A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DNMT3A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DNMT3A	Unknown
DOCK7	BIALLELIC, autosomal or pseudoautosomal
DYM	BIALLELIC, autosomal or pseudoautosomal
EED	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EED	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EEF1A2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EEF1A2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EIF3F	BIALLELIC, autosomal or pseudoautosomal
ELFN1	BIALLELIC, autosomal or pseudoautosomal
ERCC5	BIALLELIC, autosomal or pseudoautosomal
FBXO11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FGF12	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FGF12	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABRA1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GABRA1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABRB2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GABRB2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABRB3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GABRB3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GLRX5	BIALLELIC, autosomal or pseudoautosomal
GNB5	BIALLELIC, autosomal or pseudoautosomal
GRID2	BIALLELIC, autosomal or pseudoautosomal
GRID2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GRIK2	BIALLELIC, autosomal or pseudoautosomal
GRIK2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GRIN2A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GRIN2A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GRIN2D	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GTF2H5	BIALLELIC, autosomal or pseudoautosomal
HARS2	BIALLELIC, autosomal or pseudoautosomal
HCN1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HCN1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
INPP5K	BIALLELIC, autosomal or pseudoautosomal
INTS11	BIALLELIC, autosomal or pseudoautosomal
IQSEC2	X-LINKED: hemizygous mutation in males, biallelic mutations in females
IQSEC2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ITPA	BIALLELIC, autosomal or pseudoautosomal
KAT5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KAT5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNB1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNB1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNC1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNC1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNQ5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNT1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNT1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KDM6B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KDM6B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KLHL7	BIALLELIC, autosomal or pseudoautosomal
KLHL7	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KMT2A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KMT2A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KMT2E	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KMT2E	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KPTN	BIALLELIC, autosomal or pseudoautosomal
LAMA2	BIALLELIC, autosomal or pseudoautosomal
LCAT	BIALLELIC, autosomal or pseudoautosomal
LRBA	BIALLELIC, autosomal or pseudoautosomal
LRP2	BIALLELIC, autosomal or pseudoautosomal
LYRM7	BIALLELIC, autosomal or pseudoautosomal
MAGEL2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MAGEL2	MONOALLELIC, autosomal or pseudoautosomal, maternally imprinted (paternal allele expressed)
MASP1	BIALLELIC, autosomal or pseudoautosomal
MBOAT7	BIALLELIC, autosomal or pseudoautosomal
MECP2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
MRPS22	BIALLELIC, autosomal or pseudoautosomal
MT-RNR1	MITOCHONDRIAL
MYCN	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MYCN	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYPN	BIALLELIC, autosomal or pseudoautosomal
MYPN	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
MYPN	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NARS	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NAXE	BIALLELIC, autosomal or pseudoautosomal
NDUFAF6	BIALLELIC, autosomal or pseudoautosomal
NDUFB11	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
NEXMIF	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
NFASC	BIALLELIC, autosomal or pseudoautosomal
NFIX	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NFIX	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NR4A2	BIALLELIC, autosomal or pseudoautosomal
NR4A2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NRXN1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NT5C2	BIALLELIC, autosomal or pseudoautosomal
NTRK1	BIALLELIC, autosomal or pseudoautosomal
NUP214	BIALLELIC, autosomal or pseudoautosomal
OXR1	BIALLELIC, autosomal or pseudoautosomal
PC	BIALLELIC, autosomal or pseudoautosomal
PCDH19	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PDHB	BIALLELIC, autosomal or pseudoautosomal
PFKM	BIALLELIC, autosomal or pseudoautosomal
PHF6	Unknown
PHF6	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PIGC	BIALLELIC, autosomal or pseudoautosomal
PIGQ	BIALLELIC, autosomal or pseudoautosomal
PLCB1	BIALLELIC, autosomal or pseudoautosomal
PRNP	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PRNP	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PUF60	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PUF60	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PURA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PURA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PYCR1	BIALLELIC, autosomal or pseudoautosomal
RNF13	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RNF13	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RNU2-2P	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
RNU2-2P	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RNU2-2P	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ROBO1	BIALLELIC, autosomal or pseudoautosomal
RPL10	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SARS	BIALLELIC, autosomal or pseudoautosomal
SHMT2	BIALLELIC, autosomal or pseudoautosomal
SIK1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SIK1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC12A6	BIALLELIC, autosomal or pseudoautosomal
SLC12A6	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SLC1A2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SLC1A2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC5A6	BIALLELIC, autosomal or pseudoautosomal
SLC6A1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SLC6A1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SMC3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SMC3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SMC3	Unknown
SOD1	BIALLELIC, autosomal or pseudoautosomal
SOD1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SPTBN1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SPTBN1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STAG1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
STAG1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STX1B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
STX1B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STXBP1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
STXBP1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
STXBP1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SYN1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SYN1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SYNGAP1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SYNGAP1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SZT2	BIALLELIC, autosomal or pseudoautosomal
THRA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
THRA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TIMM50	BIALLELIC, autosomal or pseudoautosomal
TMEM240	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRPM6	BIALLELIC, autosomal or pseudoautosomal
UBA5	BIALLELIC, autosomal or pseudoautosomal
UBE2A	X-LINKED: hemizygous mutation in males, biallelic mutations in females
UBE3A	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)
UBTF	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
UBTF	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UFM1	BIALLELIC, autosomal or pseudoautosomal
UMPS	BIALLELIC, autosomal or pseudoautosomal
UNC80	BIALLELIC, autosomal or pseudoautosomal
WARS2	BIALLELIC, autosomal or pseudoautosomal
YWHAG	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZDHHC9	X-LINKED: hemizygous mutation in males, biallelic mutations in females
ACER3	BIALLELIC, autosomal or pseudoautosomal
ACTG1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ACTG1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ACTL6B	BIALLELIC, autosomal or pseudoautosomal
ACTL6B	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ADARB1	BIALLELIC, autosomal or pseudoautosomal
AGO1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AGTPBP1	BIALLELIC, autosomal or pseudoautosomal
ANO4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AP1G1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AP2M1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ARFGEF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ARFGEF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ARHGEF9	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ASH1L	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ASH1L	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ASXL2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ASXL2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ATG7	BIALLELIC, autosomal or pseudoautosomal
ATP5O	BIALLELIC, autosomal or pseudoautosomal
ATP6V1A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ATP6V1A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CA2	BIALLELIC, autosomal or pseudoautosomal
CACNA1B	BIALLELIC, autosomal or pseudoautosomal
CACNA1I	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CCDC32	BIALLELIC, autosomal or pseudoautosomal
CDC6	BIALLELIC, autosomal or pseudoautosomal
CDK19	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CDK19	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CDK5	BIALLELIC, autosomal or pseudoautosomal
CELF2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CELF2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CHD5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHD5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CHKA	BIALLELIC, autosomal or pseudoautosomal
CLDN5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CLDN5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CNOT1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CNOT9	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CNOT9	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CSNK2B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CWC27	BIALLELIC, autosomal or pseudoautosomal
CYFIP2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DCAF17	BIALLELIC, autosomal or pseudoautosomal
DNMT3B	BIALLELIC, autosomal or pseudoautosomal
DPYSL5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DPYSL5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DTYMK	BIALLELIC, autosomal or pseudoautosomal
EBF3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EBF3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ECHS1	BIALLELIC, autosomal or pseudoautosomal
EIF2AK3	BIALLELIC, autosomal or pseudoautosomal
EIF4A3	BIALLELIC, autosomal or pseudoautosomal
EP300	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EP300	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EPB41L3	BIALLELIC, autosomal or pseudoautosomal
ERLIN2	BIALLELIC, autosomal or pseudoautosomal
ERLIN2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
EXTL3	BIALLELIC, autosomal or pseudoautosomal
FARSA	BIALLELIC, autosomal or pseudoautosomal
FLVCR2	BIALLELIC, autosomal or pseudoautosomal
FOSL2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FOSL2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FZR1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FZR1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABBR2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABRA2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABRA5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABRD	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GABRD	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GATA3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GATA3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GCSH	BIALLELIC, autosomal or pseudoautosomal
GEMIN4	BIALLELIC, autosomal or pseudoautosomal
GLRA2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
GNAI2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GNAI2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GRIA2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GRIA2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GRIA4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GRIA4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HDAC8	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
HESX1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
HESX1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
HID1	BIALLELIC, autosomal or pseudoautosomal
HIST1H1E	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HNRNPH1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HNRNPH1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HSPA9	BIALLELIC, autosomal or pseudoautosomal
INTS1	BIALLELIC, autosomal or pseudoautosomal
KAT8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNA3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCND2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNH5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNH5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNT2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCTD3	BIALLELIC, autosomal or pseudoautosomal
KIF11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KIF11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KLHL20	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KLHL20	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LAMB1	BIALLELIC, autosomal or pseudoautosomal
LARS	BIALLELIC, autosomal or pseudoautosomal
LMBRD2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MADD	BIALLELIC, autosomal or pseudoautosomal
MAP4K4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MAP4K4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MARK2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MAST3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MAST4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MBD5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MBD5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MID1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
MID1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
MN1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MPLKIP	BIALLELIC, autosomal or pseudoautosomal
MRPL49	BIALLELIC, autosomal or pseudoautosomal
MTHFS	BIALLELIC, autosomal or pseudoautosomal
NAPB	BIALLELIC, autosomal or pseudoautosomal
NBEA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NEUROD2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NHS	X-LINKED: hemizygous mutation in males, biallelic mutations in females
NHS	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
NR2F2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NR2F2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
OSGEP	BIALLELIC, autosomal or pseudoautosomal
OTUD7A	BIALLELIC, autosomal or pseudoautosomal
OTUD7A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
P4HTM	BIALLELIC, autosomal or pseudoautosomal
PABPC1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PABPC1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PAK1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PAX8	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PAX8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PCDHGC4	BIALLELIC, autosomal or pseudoautosomal
PCNT	BIALLELIC, autosomal or pseudoautosomal
PHACTR1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PHACTR1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PHIP	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PHIP	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PITRM1	BIALLELIC, autosomal or pseudoautosomal
PLK1	BIALLELIC, autosomal or pseudoautosomal
PLK4	BIALLELIC, autosomal or pseudoautosomal
PPP1R3F	X-LINKED: hemizygous mutation in males, biallelic mutations in females
PPP2R5C	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RAB5C	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RAB5C	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RNF125	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RNF125	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SCAMP5	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SEMA6B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SEMA6B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SETD1B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SETD1B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SETD2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SETD2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC12A5	BIALLELIC, autosomal or pseudoautosomal
SLC12A5	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
SLC18A2	BIALLELIC, autosomal or pseudoautosomal
SLC32A1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SLC32A1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC38A3	BIALLELIC, autosomal or pseudoautosomal
SMARCB1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SMARCB1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SNIP1	BIALLELIC, autosomal or pseudoautosomal
SRPK3	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SUZ12	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SUZ12	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TBC1D23	BIALLELIC, autosomal or pseudoautosomal
TBC1D2B	BIALLELIC, autosomal or pseudoautosomal
TFE3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TIAM1	BIALLELIC, autosomal or pseudoautosomal
TMEM199	BIALLELIC, autosomal or pseudoautosomal
TMEM222	BIALLELIC, autosomal or pseudoautosomal
TMEM63B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TMEM63B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TNPO2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TNR	BIALLELIC, autosomal or pseudoautosomal
TRA2B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TRA2B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRAPPC4	BIALLELIC, autosomal or pseudoautosomal
TRPM3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TUBGCP6	BIALLELIC, autosomal or pseudoautosomal
